event_type,event_time,event_pps_micros,node_id,target_id,packet_id,rx_late7,rx_lnge7,rx_sats,tx_late7,tx_lnge7,tx_sats,rx_rssix10,rx_snrx10,tx_rssix10,tx_snrx10,packet_len,latency_us
16,1782629360,0,2,1,2,334294996,-1119437264,5,334255000,-1119400000,9,-619,646,-620,612,23,2293918
16,1782629362,0,2,1,3,334013548,-1119446918,10,334255000,-1119400000,8,-752,491,-788,461,23,2292986
16,1782629363,0,2,1,4,334636848,-1119695485,12,334255000,-1119400000,12,-806,472,-816,443,23,2295167
16,1782629365,0,2,1,5,334232372,-1119553347,5,334255000,-1119400000,8,-713,506,-697,544,23,2297084
16,1782629366,0,2,1,6,334181412,-1120072678,11,334255000,-1119400000,7,-788,469,-838,415,23,2295125
16,1782629368,0,2,1,7,334188855,-1119810229,7,334255000,-1119400000,6,-759,473,-783,480,23,2294642
16,1782629369,0,2,1,8,334569023,-1119348062,6,334255000,-1119400000,12,-779,487,-727,567,23,2300290
16,1782629371,0,2,1,9,334611891,-1119666640,11,334255000,-1119400000,7,-769,473,-825,445,23,2299566
16,1782629372,0,2,1,10,334228319,-1119564093,9,334255000,-1119400000,11,-664,582,-721,525,23,2296515
16,1782629374,0,2,1,11,334152284,-1120127653,11,334255000,-1119400000,9,-851,406,-809,450,23,2294474
16,1782629375,0,2,1,12,334400058,-1119511917,10,334255000,-1119400000,10,-716,562,-755,490,23,2295687
16,1782629377,0,2,1,13,334632312,-1119348325,10,334255000,-1119400000,7,-811,444,-822,433,23,2299074
16,1782629378,0,2,1,14,334245669,-1119593468,7,334255000,-1119400000,9,-703,507,-712,533,23,2297972
16,1782629380,0,2,1,15,334176856,-1119995815,8,334255000,-1119400000,11,-824,427,-791,442,23,2298673
16,1782629381,0,2,1,16,334453977,-1119297977,7,334255000,-1119400000,6,-684,526,-734,528,23,2301723
16,1782629383,0,2,1,17,334405307,-1119368716,10,334255000,-1119400000,11,-655,602,-756,517,23,2294926
16,1782629384,0,2,1,18,334866693,-1119810108,10,334255000,-1119400000,10,-886,351,-864,393,23,2295978
16,1782629386,0,2,1,19,334676099,-1119285024,8,334255000,-1119400000,6,-820,443,-847,387,23,2304728
16,1782629387,0,2,1,20,334505067,-1119304152,12,334255000,-1119400000,8,-700,570,-767,440,23,2304131
16,1782629390,0,2,1,22,334145080,-1120113638,8,334255000,-1119400000,11,-853,386,-834,404,23,2304577
16,1782629392,0,2,1,23,334315591,-1119769643,5,334255000,-1119400000,5,-743,492,-789,438,23,2303550
16,1782629393,0,2,1,24,334313901,-1119446903,9,334255000,-1119400000,7,-637,612,-622,645,23,2295407
16,1782629395,0,2,1,25,334851330,-1119321213,6,334255000,-1119400000,9,-828,444,-821,404,23,2300975
16,1782629396,0,2,1,26,334278829,-1119395113,8,334255000,-1119400000,11,-508,750,-553,679,23,2297629
16,1782629398,0,2,1,27,334658559,-1119783222,12,334255000,-1119400000,12,-842,397,-812,426,23,2295314
16,1782629399,0,2,1,28,334759023,-1119839910,10,334255000,-1119400000,8,-860,342,-817,442,23,2294793
16,1782629401,0,2,1,29,334219691,-1120231138,7,334255000,-1119400000,5,-862,360,-825,433,23,2296588
16,1782629402,0,2,1,30,334557983,-1119594544,12,334255000,-1119400000,9,-822,411,-763,472,23,2297575
16,1782629404,0,2,1,31,334733255,-1119367042,12,334255000,-1119400000,7,-884,364,-808,450,23,2296525
16,1782629405,0,2,1,32,334275646,-1119418136,11,334255000,-1119400000,8,-530,711,-575,697,23,2294756
16,1782629407,0,2,1,33,334211960,-1119642845,9,334255000,-1119400000,11,-682,541,-697,579,23,2298495
16,1782629408,0,2,1,34,334206240,-1120051413,6,334255000,-1119400000,11,-882,395,-795,465,23,2297408
16,1782629410,0,2,1,35,334485852,-1119588109,9,334255000,-1119400000,7,-779,454,-730,546,23,2292904
16,1782629413,0,2,1,37,334095322,-1119037025,10,334255000,-1119400000,10,-765,454,-722,522,23,2295567
16,1782629414,0,2,1,38,334757101,-1119327527,8,334255000,-1119400000,11,-782,484,-809,466,23,2304992
16,1782629417,0,2,1,40,334223595,-1119825021,12,334255000,-1119400000,9,-792,478,-795,469,23,2302104
16,1782629419,0,2,1,41,334639200,-1119304818,9,334255000,-1119400000,10,-775,498,-757,502,23,2301421
16,1782629420,0,2,1,42,334771723,-1119852998,8,334255000,-1119400000,10,-820,435,-884,363,23,2292013
